unit_index,task,band,dyad,ch1,ch2,observed_PLV_effect,reconstructed_primary_effect,informative_triads,individual_triads_same_direction,individual_triads_same_direction_fraction,LOTO_same_direction_count,LOTO_same_direction_fraction,LOTO_min_effect,LOTO_max_effect,most_influential_omitted_triad,most_influential_abs_effect_change,bootstrap_draws,bootstrap_median_effect,bootstrap_95pct_low,bootstrap_95pct_high,bootstrap_same_direction_fraction,bootstrap_95pct_interval_excludes_zero_descriptive,equal_triad_full_effect_secondary,equal_triad_direction_agrees_secondary
3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.06666519446900218,11,11,1.0,11,1.0,0.0566490916533448,0.0710281484741871,G09,0.010016103275301287,10000,0.06604836439858974,0.04593574225424448,0.09749981465437449,1.0,True,0.0796364404853772,True
4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.07844459864383788,11,11,1.0,11,1.0,0.06656881575432194,0.08943988252547336,G04,0.011875784350963703,10000,0.07852739249436202,0.0478324700506095,0.11934274114221524,1.0,True,0.08523814430968328,True
8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.0889776365710981,11,9,0.8181818181818182,11,1.0,0.08012985352590554,0.10063582593287587,G03,0.011658191026107073,10000,0.08943639674382609,0.05280677478378577,0.12314840675842656,1.0,True,0.08411556795578111,True
