unit_index,task,band,dyad,ch1,ch2,PLV_effect,p_PLV_label_maxT,p_PLV_time_maxT,p_PLV_crossgroup_partner_maxT,p_PLV_within_triad_dyad_maxT,PLV_all_four_null_layers_pass,iCOH_effect,iCOH_direction_agrees_with_PLV,p_iCOH_label_maxT,p_iCOH_time_maxT,p_iCOH_partner_maxT,p_iCOH_within_triad_dyad_maxT,iCOH_label_pass,iCOH_all_four_nulls_pass,informative_triads,individual_triads_same_direction,LOTO_same_direction_count,LOTO_min_effect,LOTO_max_effect,most_influential_omitted_triad,most_influential_abs_effect_change,bootstrap_draws,bootstrap_median_effect,bootstrap_95pct_low_descriptive,bootstrap_95pct_high_descriptive,bootstrap_same_direction_fraction,equal_triad_effect_secondary,equal_triad_direction_agrees_secondary,frozen_evidence_class,claim_ceiling
3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.009598080383923215,0.000999000999000999,0.000999000999000999,0.03696303696303696,True,0.014313548104645551,True,0.38161838161838163,0.5414585414585414,0.2787212787212787,0.5184815184815185,False,False,11,11,11,0.0566490916533448,0.0710281484741871,G09,0.010016103275301287,10000,0.06604836439858974,0.04593574225424448,0.09749981465437449,1.0,0.0796364404853772,True,PLV all-four-null supported; triad-stable; iCOH direction-only,Null-calibrated PLV topographic association; do not claim causal or zero-lag-insensitive inter-brain coupling
4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.017196560687862426,0.000999000999000999,0.000999000999000999,0.001998001998001998,True,0.014489441891974895,True,0.26173826173826176,0.36063936063936064,0.13886113886113885,0.5694305694305695,False,False,11,11,11,0.06656881575432194,0.08943988252547336,G04,0.011875784350963703,10000,0.07852739249436202,0.0478324700506095,0.11934274114221524,1.0,0.08523814430968328,True,PLV all-four-null supported; triad-stable; iCOH direction-only,Null-calibrated PLV topographic association; do not claim causal or zero-lag-insensitive inter-brain coupling
8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.017996400719856028,0.000999000999000999,0.000999000999000999,0.011988011988011988,True,0.012420441306289526,True,0.7762237762237763,0.7492507492507493,0.8021978021978022,0.9760239760239761,False,False,11,9,11,0.08012985352590554,0.10063582593287587,G03,0.011658191026107073,10000,0.08943639674382609,0.05280677478378577,0.12314840675842656,1.0,0.08411556795578111,True,PLV all-four-null supported; triad-stable; iCOH direction-only,Null-calibrated PLV topographic association; do not claim causal or zero-lag-insensitive inter-brain coupling
