unit_index,task,band,dyad,ch1_index,ch2_index,ch1,ch2,observed_effect,observed_studentized,p_label_unadjusted,p_label_maxT,label_candidate,p_time_maxT,p_partner_maxT,secondary_validation_pass,n_time_shift,n_partner_shuffle
3801,decision,beta,pair13,10,1,Fp2,C3,0.06666519492864609,4.70139741897583,0.0001999600079984003,0.009598080383923215,True,0.000999000999000999,0.000999000999000999,True,1000,1000
4166,decision,beta,pair23,10,5,Fp2,C4,0.07492471486330032,4.6928205490112305,0.0001999600079984003,0.010397920415916816,True,0.000999000999000999,0.000999000999000999,True,1000,1000
4877,decision,gamma,pair13,9,13,Fp1,O1,0.07950081676244736,4.511481761932373,0.0001999600079984003,0.03259348130373925,True,0.000999000999000999,0.000999000999000999,True,1000,1000
4900,decision,gamma,pair13,10,17,Fp2,T6,0.06815589219331741,4.626199245452881,0.0001999600079984003,0.018196360727854428,True,0.000999000999000999,0.000999000999000999,True,1000,1000
4994,decision,gamma,pair13,15,16,F7,F8,0.07844460010528564,4.6370015144348145,0.0001999600079984003,0.017196560687862426,True,0.000999000999000999,0.000999000999000999,True,1000,1000
5317,decision,gamma,pair23,13,16,O1,F8,0.06208242103457451,4.558817386627197,0.0001999600079984003,0.026394721055788842,True,0.000999000999000999,0.000999000999000999,True,1000,1000
8156,feedback,beta,pair13,11,5,T3,C4,0.0889776349067688,4.631023406982422,0.0001999600079984003,0.017996400719856028,True,0.000999000999000999,0.000999000999000999,True,1000,1000
