unit_index,task,band,dyad,ch1_index,ch2_index,ch1,ch2,observed_effect,observed_studentized,p_label_unadjusted,p_label_maxT,label_candidate
28,decision,delta,pair12,1,9,C3,Fp1,0.010335910134017467,0.41699692606925964,0.6856628674265147,1.0,False
29,decision,delta,pair12,1,10,C3,Fp2,-0.013158741407096386,-0.5344969630241394,0.5894821035792841,1.0,False
30,decision,delta,pair12,1,11,C3,T3,-0.014327666722238064,-0.559464156627655,0.5762847430513898,1.0,False
31,decision,delta,pair12,1,12,C3,T5,-0.06508742272853851,-2.5406599044799805,0.009798040391921616,1.0,False
32,decision,delta,pair12,1,13,C3,O1,-0.005180950742214918,-0.19209825992584229,0.8508298340331933,1.0,False
33,decision,delta,pair12,1,14,C3,O2,-0.008699879981577396,-0.3865492641925812,0.7026594681063787,1.0,False
34,decision,delta,pair12,1,15,C3,F7,-0.013240067288279533,-0.5783743858337402,0.563887222555489,1.0,False
35,decision,delta,pair12,1,16,C3,F8,-0.011110286228358746,-0.4779976010322571,0.6396720655868826,1.0,False
36,decision,delta,pair12,1,17,C3,T6,-0.027217280119657516,-1.0582772493362427,0.28314337132573486,1.0,False
37,decision,delta,pair12,1,18,C3,T4,-0.028884107246994972,-1.2375681400299072,0.21815636872625474,1.0,False
38,decision,delta,pair12,2,0,F3,P3,-0.01412250753492117,-0.5366114974021912,0.5794841031793642,1.0,False
