unit_index,task,band,dyad,ch1,ch2,PLV_effect,iCOH_effect,direction_agrees_with_PLV,p_iCOH_label_maxT,p_iCOH_time_maxT,p_iCOH_partner_maxT,p_iCOH_dyad_maxT,iCOH_label_pass,iCOH_all_four_nulls_pass
3801,decision,beta,pair13,Fp2,C3,0.06666519492864609,0.014313548104645551,True,0.38161838161838163,0.5414585414585414,0.2787212787212787,0.5184815184815185,False,False
4994,decision,gamma,pair13,F7,F8,0.07844460010528564,0.014489441891974895,True,0.26173826173826176,0.36063936063936064,0.13886113886113885,0.5694305694305695,False,False
8156,feedback,beta,pair13,T3,C4,0.0889776349067688,0.012420441306289526,True,0.7762237762237763,0.7492507492507493,0.8021978021978022,0.9760239760239761,False,False
