group,task,trial_1based,retain_sensitivity,BT_label,flag_source_subjects
G03,decision,12,True,CCC,
G03,decision,13,True,CCC,
G03,decision,14,True,CCC,
G03,decision,15,True,Other,
G03,decision,16,True,CCC,
G03,decision,17,True,Other,
G03,decision,18,True,Other,
G03,decision,19,True,Other,
G03,decision,20,True,Other,
G03,decision,21,True,CCC,
G03,decision,22,True,CCC,
G03,decision,23,True,CCC,
G03,decision,24,True,CCC,
G03,decision,25,True,CCC,
G03,decision,26,True,CCC,
G03,decision,27,True,CCC,
G03,decision,28,True,CCC,
G03,decision,29,True,Other,
G03,decision,30,True,Other,
G03,decision,31,True,Other,
G03,decision,32,True,Other,
G03,decision,33,True,Other,
G03,decision,34,True,Other,
G03,decision,35,True,Other,
G03,decision,36,True,Other,
G03,decision,37,True,Other,
G03,decision,38,True,Other,
G03,decision,39,True,Other,
G03,decision,40,True,Other,
G03,feedback,1,True,CCC,
G03,feedback,2,True,CCC,
G03,feedback,3,True,CCC,
G03,feedback,4,True,CCC,
G03,feedback,5,True,CCC,
G03,feedback,6,True,CCC,
G03,feedback,7,True,Other,
G03,feedback,8,True,CCC,
G03,feedback,9,True,Other,
G03,feedback,10,True,Other,
G03,feedback,11,True,Other,
G03,feedback,12,True,CCC,
G03,feedback,13,True,CCC,
G03,feedback,14,True,CCC,
G03,feedback,15,True,Other,
G03,feedback,16,True,CCC,
G03,feedback,17,True,Other,
G03,feedback,18,True,Other,
G03,feedback,19,True,Other,
G03,feedback,20,True,Other,
G03,feedback,21,True,CCC,
G03,feedback,22,True,CCC,
G03,feedback,23,True,CCC,
G03,feedback,24,True,CCC,
G03,feedback,25,True,CCC,
G03,feedback,26,True,CCC,
G03,feedback,27,True,CCC,
G03,feedback,28,True,CCC,
G03,feedback,29,True,Other,
G03,feedback,30,True,Other,
G03,feedback,31,True,Other,
G03,feedback,32,True,Other,
G03,feedback,33,True,Other,
G03,feedback,34,True,Other,
G03,feedback,35,True,Other,
G03,feedback,36,True,Other,
G03,feedback,37,True,Other,
G03,feedback,38,True,Other,
G03,feedback,39,True,Other,
G03,feedback,40,True,Other,
G04,decision,1,True,CCC,
G04,decision,2,True,Other,
G04,decision,3,True,Other,
G04,decision,4,True,Other,
G04,decision,5,True,Other,
G04,decision,6,True,Other,
G04,decision,7,True,Other,
G04,decision,8,True,Other,
G04,decision,9,True,Other,
G04,decision,10,True,Other,
G04,decision,11,True,Other,
G04,decision,12,True,Other,
G04,decision,13,True,Other,
G04,decision,14,True,Other,
G04,decision,15,True,Other,
G04,decision,16,True,Other,
G04,decision,17,True,CCC,
G04,decision,18,True,Other,
G04,decision,19,True,CCC,
G04,decision,20,True,CCC,
G04,decision,21,True,CCC,
G04,decision,22,True,CCC,
G04,decision,23,True,CCC,
G04,decision,24,True,Other,
G04,decision,25,True,CCC,
G04,decision,26,True,CCC,
G04,decision,27,True,CCC,
G04,decision,28,True,CCC,
G04,decision,29,True,CCC,
G04,decision,30,True,CCC,
G04,decision,31,True,CCC,
G04,decision,32,True,CCC,
G04,decision,33,True,CCC,
G04,decision,34,True,CCC,
G04,decision,35,True,CCC,
G04,decision,36,True,CCC,
G04,decision,37,True,CCC,
G04,decision,38,True,CCC,
G04,decision,39,True,CCC,
G04,decision,40,True,CCC,
G04,feedback,1,True,CCC,
G04,feedback,2,True,Other,
G04,feedback,3,True,Other,
G04,feedback,4,True,Other,
G04,feedback,5,True,Other,
G04,feedback,6,True,Other,
G04,feedback,7,True,Other,
G04,feedback,8,True,Other,
G04,feedback,9,True,Other,
G04,feedback,10,True,Other,
G04,feedback,11,True,Other,
G04,feedback,12,True,Other,
G04,feedback,13,True,Other,
G04,feedback,14,True,Other,
G04,feedback,15,True,Other,
G04,feedback,16,True,Other,
G04,feedback,17,True,CCC,
G04,feedback,18,True,Other,
G04,feedback,19,True,CCC,
G04,feedback,20,True,CCC,
G04,feedback,21,True,CCC,
G04,feedback,22,True,CCC,
G04,feedback,23,True,CCC,
G04,feedback,24,True,Other,
G04,feedback,25,True,CCC,
G04,feedback,26,True,CCC,
G04,feedback,27,True,CCC,
G04,feedback,28,True,CCC,
G04,feedback,29,True,CCC,
G04,feedback,30,True,CCC,
G04,feedback,31,True,CCC,
G04,feedback,32,True,CCC,
G04,feedback,33,True,CCC,
G04,feedback,34,True,CCC,
G04,feedback,35,True,CCC,
G04,feedback,36,True,CCC,
G04,feedback,37,True,CCC,
G04,feedback,38,True,CCC,
G04,feedback,39,True,CCC,
G04,feedback,40,True,CCC,
G05,decision,1,True,CCC,
G05,decision,2,True,CCC,
G05,decision,3,True,CCC,
G05,decision,4,True,CCC,
G05,decision,5,True,CCC,
G05,decision,6,True,Other,
G05,decision,7,True,Other,
G05,decision,8,True,CCC,
G05,decision,9,True,Other,
G05,decision,10,True,Other,
G05,decision,11,True,Other,
G05,decision,12,True,Other,
G05,decision,13,True,Other,
G05,decision,14,True,Other,
G05,decision,15,True,Other,
G05,decision,16,True,Other,
G05,decision,17,True,Other,
G05,decision,18,True,Other,
G05,decision,19,True,Other,
G05,decision,20,True,Other,
G05,decision,21,True,Other,
G05,decision,22,True,Other,
G05,decision,23,True,Other,
G05,decision,24,True,Other,
G05,decision,25,True,Other,
G05,decision,26,True,Other,
G05,decision,27,True,Other,
G05,decision,28,True,Other,
G05,decision,29,True,Other,
G05,decision,30,True,Other,
G05,decision,31,True,Other,
G05,decision,32,True,Other,
G05,decision,33,True,Other,
G05,decision,34,True,Other,
G05,decision,35,True,Other,
G05,decision,36,True,Other,
G05,decision,37,True,Other,
G05,decision,38,True,Other,
G05,decision,39,True,Other,
G05,decision,40,True,Other,
G05,feedback,1,True,CCC,
G05,feedback,2,True,CCC,
G05,feedback,3,True,CCC,
G05,feedback,4,True,CCC,
G05,feedback,5,True,CCC,
G05,feedback,6,True,Other,
G05,feedback,7,True,Other,
G05,feedback,8,True,CCC,
G05,feedback,9,True,Other,
G05,feedback,10,True,Other,
G05,feedback,11,True,Other,
G05,feedback,12,True,Other,
G05,feedback,13,True,Other,
G05,feedback,14,True,Other,
G05,feedback,15,True,Other,
G05,feedback,16,True,Other,
G05,feedback,17,True,Other,
G05,feedback,18,True,Other,
G05,feedback,19,True,Other,
G05,feedback,20,True,Other,
G05,feedback,21,True,Other,
G05,feedback,22,True,Other,
G05,feedback,23,True,Other,
G05,feedback,24,True,Other,
G05,feedback,25,True,Other,
G05,feedback,26,True,Other,
G05,feedback,27,True,Other,
G05,feedback,28,True,Other,
G05,feedback,29,True,Other,
G05,feedback,30,True,Other,
G05,feedback,31,True,Other,
G05,feedback,32,True,Other,
G05,feedback,33,True,Other,
G05,feedback,34,True,Other,
G05,feedback,35,True,Other,
G05,feedback,36,True,Other,
G05,feedback,37,True,Other,
G05,feedback,38,True,Other,
G05,feedback,39,True,Other,
G05,feedback,40,True,Other,
G06,decision,1,True,CCC,
G06,decision,2,True,CCC,
G06,decision,3,True,CCC,
G06,decision,4,True,CCC,
G06,decision,5,True,CCC,
G06,decision,6,True,CCC,
G06,decision,7,True,CCC,
G06,decision,8,True,CCC,
G06,decision,9,True,CCC,
G06,decision,10,True,CCC,
G06,decision,11,True,CCC,
G06,decision,12,True,CCC,
G06,decision,13,True,CCC,
G06,decision,14,True,CCC,
G06,decision,15,True,CCC,
G06,decision,16,True,CCC,
G06,decision,17,True,CCC,
G06,decision,18,True,CCC,
G06,decision,19,True,CCC,
G06,decision,20,True,CCC,
G06,decision,21,True,CCC,
G06,decision,22,True,CCC,
G06,decision,23,True,CCC,
G06,decision,24,True,CCC,
G06,decision,25,True,CCC,
G06,decision,26,True,CCC,
G06,decision,27,True,CCC,
G06,decision,28,True,CCC,
G06,decision,29,True,CCC,
G06,decision,30,True,CCC,
G06,decision,31,True,CCC,
G06,decision,32,True,CCC,
G06,decision,33,True,Other,
G06,decision,34,True,CCC,
G06,decision,35,True,CCC,
G06,decision,36,True,CCC,
G06,decision,37,True,Other,
G06,decision,38,True,CCC,
G06,decision,39,True,Other,
G06,decision,40,True,Other,
G06,feedback,1,True,CCC,
G06,feedback,2,True,CCC,
G06,feedback,3,True,CCC,
G06,feedback,4,True,CCC,
G06,feedback,5,True,CCC,
G06,feedback,6,True,CCC,
G06,feedback,7,True,CCC,
G06,feedback,8,True,CCC,
G06,feedback,9,True,CCC,
G06,feedback,10,True,CCC,
G06,feedback,11,True,CCC,
G06,feedback,12,True,CCC,
G06,feedback,13,True,CCC,
G06,feedback,14,True,CCC,
G06,feedback,15,True,CCC,
G06,feedback,16,True,CCC,
G06,feedback,17,True,CCC,
G06,feedback,18,True,CCC,
G06,feedback,19,True,CCC,
G06,feedback,20,True,CCC,
G06,feedback,21,True,CCC,
G06,feedback,22,True,CCC,
G06,feedback,23,True,CCC,
G06,feedback,24,True,CCC,
G06,feedback,25,True,CCC,
G06,feedback,26,True,CCC,
G06,feedback,27,True,CCC,
G06,feedback,28,True,CCC,
G06,feedback,29,True,CCC,
G06,feedback,30,True,CCC,
G06,feedback,31,True,CCC,
G06,feedback,32,True,CCC,
G06,feedback,33,True,Other,
G06,feedback,34,True,CCC,
G06,feedback,35,True,CCC,
G06,feedback,36,True,CCC,
G06,feedback,37,True,Other,
G06,feedback,38,True,CCC,
G06,feedback,39,True,Other,
G06,feedback,40,True,Other,
G07,decision,1,False,CCC,sub-G07S03
G07,decision,2,True,CCC,
G07,decision,3,True,CCC,
G07,decision,4,False,CCC,sub-G07S03
G07,decision,5,True,CCC,
G07,decision,6,True,CCC,
G07,decision,7,True,CCC,
G07,decision,8,True,CCC,
G07,decision,9,True,CCC,
G07,decision,10,True,CCC,
G07,decision,11,False,CCC,sub-G07S03
G07,decision,12,False,CCC,sub-G07S03
